file_meas,date,time,site_id,group_detail,Begin Time,End Time,Granularity,Group,SubnetWork ID,SubnetWork Name,ManagedElement ID,Managed Element,eNodeB ID,eNodeB Name,Eutran Cell ID,Cell Name,Downlink Center Carrier Frequency,eNodeBId,cellId,Active Users,DL PRB Utilization _percent,UL PRB Utilization _percent,Average CQI,Spectral Efficiency,Maximum Number of RRC Connection User
FDD,2025-04-16,08:00:00,MRW169,,2025-04-16 08:00:00,2025-04-16 09:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,11,MRW169ML1_BandaraIMIP_ML01,1870.0,356169,11,0.88,0.3097,0.051,6.86,1.2659,38
FDD,2025-04-16,08:00:00,MRW169,,2025-04-16 08:00:00,2025-04-16 09:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,12,E_MRW169MT1_BandaraIMIP_MT01,930.0,356169,12,1.7287,0.3166,0.1351,10.16,1.3776,48
FDD,2025-04-16,09:00:00,MRW169,,2025-04-16 09:00:00,2025-04-16 10:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,21,MRW169ML1_BandaraIMIP_ML02,1870.0,356169,21,36.1499,0.9532,0.4256,8.16,2.1894,184
FDD,2025-04-16,11:00:00,MRW169,,2025-04-16 11:00:00,2025-04-16 12:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,31,MRW169ML1_BandaraIMIP_ML03,1870.0,356169,31,35.0645,0.9603,0.4773,5.58,0.5544,135
FDD,2025-04-16,11:00:00,MRW169,,2025-04-16 11:00:00,2025-04-16 12:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,32,E_MRW169MT1_BandaraIMIP_MT03,930.0,356169,32,5.2228,0.8659,0.3421,6.96,0.6022,73
FDD,2025-04-16,19:00:00,MRW916,,2025-04-16 19:00:00,2025-04-16 20:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,13,E_MRW916MR1_WahyuFatufia-DMT_MR01,2160.0,356916,13,88.1886,0.9864,0.8841,8.98,1.8435,234
FDD,2025-04-16,20:00:00,MRW916,,2025-04-16 20:00:00,2025-04-16 21:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,11,N_MRW916ML1_WahyuFatufia-DMT_ML01,1870.0,356916,11,74.6631,0.9803,0.7783,9.96,1.6368,180
FDD,2025-04-16,20:00:00,MRW916,,2025-04-16 20:00:00,2025-04-16 21:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,12,N_MRW916MT1_WahyuFatufia-DMT_MT01,930.0,356916,12,25.8077,0.9861,0.7359,11.37,2.6311,90
FDD,2025-04-16,20:00:00,MRW916,,2025-04-16 20:00:00,2025-04-16 21:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,21,N_MRW916ML1_WahyuFatufia-DMT_ML02,1870.0,356916,21,81.2264,0.9592,0.778,9.9,1.5302,169
FDD,2025-04-16,20:00:00,MRW916,,2025-04-16 20:00:00,2025-04-16 21:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,22,N_MRW916MT1_WahyuFatufia-DMT_MT02,930.0,356916,22,10.7021,0.9751,0.4853,10.73,2.1014,52
FDD,2025-04-16,20:00:00,MRW916,,2025-04-16 20:00:00,2025-04-16 21:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,23,E_MRW916MR1_WahyuFatufia-DMT_MR02,2160.0,356916,23,91.3374,0.9818,0.8742,8.36,1.2776,208
FDD,2025-04-16,20:00:00,MRW916,,2025-04-16 20:00:00,2025-04-16 21:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,31,N_MRW916ML1_WahyuFatufia-DMT_ML03,1870.0,356916,31,73.2994,0.9679,0.7128,9.05,1.281,172
FDD,2025-04-16,20:00:00,MRW916,,2025-04-16 20:00:00,2025-04-16 21:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,32,N_MRW916MT1_WahyuFatufia-DMT_MT03,930.0,356916,32,11.2798,0.979,0.3921,9.44,1.3836,50
FDD,2025-04-16,20:00:00,MRW916,,2025-04-16 20:00:00,2025-04-16 21:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,33,E_MRW916MR1_WahyuFatufia-DMT_MR03,2160.0,356916,33,69.1975,0.9882,0.745,8.26,1.3734,186
FDD,2025-04-16,21:00:00,MRW169,,2025-04-16 21:00:00,2025-04-16 22:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,22,E_MRW169MT1_BandaraIMIP_MT02,930.0,356169,22,7.6804,0.8771,0.3544,6.84,0.4286,70
FDD,2025-04-17,11:00:00,MRW169,,2025-04-17 11:00:00,2025-04-17 12:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,21,MRW169ML1_BandaraIMIP_ML02,1870.0,356169,21,23.5432,0.9251,0.3927,7.81,1.8632,144
FDD,2025-04-17,11:00:00,MRW169,,2025-04-17 11:00:00,2025-04-17 12:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,31,MRW169ML1_BandaraIMIP_ML03,1870.0,356169,31,54.9141,0.9686,0.5439,5.44,0.4755,176
FDD,2025-04-17,12:00:00,MRW169,,2025-04-17 12:00:00,2025-04-17 13:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,11,MRW169ML1_BandaraIMIP_ML01,1870.0,356169,11,1.4297,0.3306,0.0774,6.94,0.9765,44
FDD,2025-04-17,12:00:00,MRW169,,2025-04-17 12:00:00,2025-04-17 13:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,12,E_MRW169MT1_BandaraIMIP_MT01,930.0,356169,12,1.1689,0.421,0.0867,10.16,1.5416,20
FDD,2025-04-17,16:00:00,MRW169,,2025-04-17 16:00:00,2025-04-17 17:00:00,1 hour,,3115,RTPO POSO(3115),356169,E_MRW169M41_BandaraIMIP(356169),356169,MRW169M41_BandaraIMIP,32,E_MRW169MT1_BandaraIMIP_MT03,930.0,356169,32,7.3966,0.9002,0.3432,7.38,0.72,70
FDD,2025-04-17,18:00:00,MRW916,,2025-04-17 18:00:00,2025-04-17 19:00:00,1 hour,,3115,RTPO POSO(3115),356916,E_MRW916M41_WahyuFatufia-DMT(356916),510-10_356916,C_MRW916M41_WahyuFatufia-DMT,11,N_MRW916ML1_WahyuFatufia-DMT_ML01,1870.0,356916,11,84.1984,0.9824,0.6632,10.18,1.5596,203
