file_meas,date,time,site_id,group_detail,Begin Time,End Time,Granularity,Group,SubnetWork ID,SubnetWork Name,ManagedElement ID,Managed Element,eNodeB ID,eNodeB Name,Eutran Cell ID,Cell Name,Downlink Center Carrier Frequency,eNodeBId,cellId,Active Users,DL PRB Utilization _percent,UL PRB Utilization _percent,Average CQI,Spectral Efficiency,Maximum Number of RRC Connection User
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,11,E_MAS084ML1_BeringinBaebunta-TBG_ML01,1870.0,338084,11,0.3192,0.1959,0.0993,10.62,1.8192,42
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,12,E_MAS084MT1_BeringinBaebunta-TBG_MT01,930.0,338084,12,0.1683,0.1476,0.0748,11.77,1.5835,12
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,13,E_MAS084MR1_BeringinBaebunta-TBG_MR01,2160.0,338084,13,0.5038,0.2835,0.2325,10.79,2.1183,34
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,21,E_MAS084ML1_BeringinBaebunta-TBG_ML02,1870.0,338084,21,3.7308,0.6825,0.2049,9.39,1.0301,60
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,22,E_MAS084MT1_BeringinBaebunta-TBG_MT02,930.0,338084,22,1.1798,0.3967,0.2106,9.07,1.1628,39
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,23,E_MAS084MR1_BeringinBaebunta-TBG_MR02,2160.0,338084,23,1.8534,0.5216,0.1915,11.1,1.617,64
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,31,E_MAS084ML1_BeringinBaebunta-TBG_ML03,1870.0,338084,31,0.257,0.1868,0.0701,10.08,1.8835,27
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,32,E_MAS084MT1_BeringinBaebunta-TBG_MT03,930.0,338084,32,1.0814,0.4863,0.3387,8.45,1.0357,21
FDD,2025-02-08,23:00:00,MAS084,,2025-02-08 23:00:00,2025-02-09 00:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,33,E_MAS084MR1_BeringinBaebunta-TBG_MR03,2160.0,338084,33,0.5761,0.2778,0.1165,10.22,1.4119,27
FDD,2025-02-09,14:00:00,MAS084,,2025-02-09 14:00:00,2025-02-09 15:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,12,E_MAS084MT1_BeringinBaebunta-TBG_MT01,930.0,338084,12,0.6216,0.3421,0.1119,10.7,1.6093,19
FDD,2025-02-09,19:00:00,MAS084,,2025-02-09 19:00:00,2025-02-09 20:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,11,E_MAS084ML1_BeringinBaebunta-TBG_ML01,1870.0,338084,11,2.4056,0.6283,0.2226,10.37,1.9698,67
FDD,2025-02-09,20:00:00,MAS084,,2025-02-09 20:00:00,2025-02-09 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,13,E_MAS084MR1_BeringinBaebunta-TBG_MR01,2160.0,338084,13,2.5802,0.6519,0.2607,10.31,1.7943,64
FDD,2025-02-09,20:00:00,MAS084,,2025-02-09 20:00:00,2025-02-09 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,21,E_MAS084ML1_BeringinBaebunta-TBG_ML02,1870.0,338084,21,24.6317,0.9695,0.4265,8.75,1.0941,88
FDD,2025-02-09,20:00:00,MAS084,,2025-02-09 20:00:00,2025-02-09 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,22,E_MAS084MT1_BeringinBaebunta-TBG_MT02,930.0,338084,22,8.2005,0.9375,0.3725,7.85,0.9016,49
FDD,2025-02-09,20:00:00,MAS084,,2025-02-09 20:00:00,2025-02-09 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,23,E_MAS084MR1_BeringinBaebunta-TBG_MR02,2160.0,338084,23,24.3889,0.9742,0.4793,9.25,1.1172,100
FDD,2025-02-09,20:00:00,MAS084,,2025-02-09 20:00:00,2025-02-09 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,31,E_MAS084ML1_BeringinBaebunta-TBG_ML03,1870.0,338084,31,3.4905,0.7304,0.2713,9.3,1.1941,48
FDD,2025-02-09,20:00:00,MAS084,,2025-02-09 20:00:00,2025-02-09 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,32,E_MAS084MT1_BeringinBaebunta-TBG_MT03,930.0,338084,32,4.227,0.8087,0.324,8.46,1.0565,36
FDD,2025-02-09,20:00:00,MAS084,,2025-02-09 20:00:00,2025-02-09 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,33,E_MAS084MR1_BeringinBaebunta-TBG_MR03,2160.0,338084,33,6.5558,0.8954,0.3651,9.96,1.7681,72
FDD,2025-02-10,13:00:00,MAS084,,2025-02-10 13:00:00,2025-02-10 14:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,22,E_MAS084MT1_BeringinBaebunta-TBG_MT02,930.0,338084,22,9.2797,0.953,0.3878,8.29,1.0239,52
FDD,2025-02-10,19:00:00,MAS084,,2025-02-10 19:00:00,2025-02-10 20:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,12,E_MAS084MT1_BeringinBaebunta-TBG_MT01,930.0,338084,12,0.6932,0.391,0.1341,9.46,1.6733,18
FDD,2025-02-10,19:00:00,MAS084,,2025-02-10 19:00:00,2025-02-10 20:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,13,E_MAS084MR1_BeringinBaebunta-TBG_MR01,2160.0,338084,13,2.4292,0.6153,0.2493,10.15,1.7206,66
FDD,2025-02-10,19:00:00,MAS084,,2025-02-10 19:00:00,2025-02-10 20:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,31,E_MAS084ML1_BeringinBaebunta-TBG_ML03,1870.0,338084,31,3.1865,0.7488,0.289,9.48,1.3848,46
FDD,2025-02-10,19:00:00,MAS084,,2025-02-10 19:00:00,2025-02-10 20:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,33,E_MAS084MR1_BeringinBaebunta-TBG_MR03,2160.0,338084,33,5.3017,0.8031,0.3232,10.01,1.8563,71
FDD,2025-02-10,20:00:00,MAS084,,2025-02-10 20:00:00,2025-02-10 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,11,E_MAS084ML1_BeringinBaebunta-TBG_ML01,1870.0,338084,11,2.4253,0.6229,0.2096,10.19,1.752,54
FDD,2025-02-10,20:00:00,MAS084,,2025-02-10 20:00:00,2025-02-10 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,21,E_MAS084ML1_BeringinBaebunta-TBG_ML02,1870.0,338084,21,24.9051,0.9722,0.4071,9.07,1.172,96
FDD,2025-02-10,20:00:00,MAS084,,2025-02-10 20:00:00,2025-02-10 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,23,E_MAS084MR1_BeringinBaebunta-TBG_MR02,2160.0,338084,23,28.9426,0.9917,0.5033,9.31,1.2617,107
FDD,2025-02-10,21:00:00,MAS084,,2025-02-10 21:00:00,2025-02-10 22:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,32,E_MAS084MT1_BeringinBaebunta-TBG_MT03,930.0,338084,32,5.5348,0.7809,0.3095,8.64,0.906,39
FDD,2025-02-11,12:00:00,MAS084,,2025-02-11 12:00:00,2025-02-11 13:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,21,E_MAS084ML1_BeringinBaebunta-TBG_ML02,1870.0,338084,21,12.5018,0.9188,0.3661,9.36,1.1477,85
FDD,2025-02-11,12:00:00,MAS084,,2025-02-11 12:00:00,2025-02-11 13:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,33,E_MAS084MR1_BeringinBaebunta-TBG_MR03,2160.0,338084,33,2.2383,0.6001,0.2388,9.94,1.5919,62
FDD,2025-02-11,13:00:00,MAS084,,2025-02-11 13:00:00,2025-02-11 14:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,22,E_MAS084MT1_BeringinBaebunta-TBG_MT02,930.0,338084,22,7.9555,0.9485,0.4048,8.12,0.9269,52
FDD,2025-02-11,14:00:00,MAS084,,2025-02-11 14:00:00,2025-02-11 15:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,23,E_MAS084MR1_BeringinBaebunta-TBG_MR02,2160.0,338084,23,16.1721,0.9803,0.4833,9.55,1.227,82
FDD,2025-02-11,14:00:00,MAS084,,2025-02-11 14:00:00,2025-02-11 15:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,32,E_MAS084MT1_BeringinBaebunta-TBG_MT03,930.0,338084,32,3.0258,0.745,0.2435,7.91,1.0294,27
FDD,2025-02-11,19:00:00,MAS084,,2025-02-11 19:00:00,2025-02-11 20:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,12,E_MAS084MT1_BeringinBaebunta-TBG_MT01,930.0,338084,12,0.5729,0.3283,0.1117,10.84,1.7302,15
FDD,2025-02-11,20:00:00,MAS084,,2025-02-11 20:00:00,2025-02-11 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,11,E_MAS084ML1_BeringinBaebunta-TBG_ML01,1870.0,338084,11,2.6855,0.6448,0.2184,10.19,1.7129,60
FDD,2025-02-11,20:00:00,MAS084,,2025-02-11 20:00:00,2025-02-11 21:00:00,1 hour,,3118,RTPO PALOPO(3118),338084,N_MAS084M41_BeringinBaebunta-TBG(338084),510-10_338084,E_MAS084M41_BeringinBaebunta-TBG,13,E_MAS084MR1_BeringinBaebunta-TBG_MR01,2160.0,338084,13,2.3059,0.607,0.2729,10.62,1.9435,67
